t;v
7.58374270;0.57147715
7.59595860;0.58541950
7.60606860;0.61746290
7.61706040;0.63726824
7.62847760;0.65526168
7.63931470;0.65126133
7.65044950;0.67968083
7.66264410;0.68602212
7.67268380;0.70856386
7.68386020;0.72042444
7.69522540;0.72196872
7.70590610;0.72928025
7.71724320;0.74928075
7.72800040;0.77683250
7.73920010;0.79024565
7.75029820;0.79419943
7.76264510;0.83944028
7.77245590;0.82955091
7.78352420;0.86726086
7.79478610;0.86730117
7.80582000;0.89021332
7.81688640;0.89238474
7.82851410;0.91894679
7.83963770;0.93209986
7.85020490;0.96188393
7.86155810;1.00653544
7.87505910;1.01346274
7.88481560;1.03400679
7.89631580;1.07549501
7.90637830;1.06567346
7.91721250;1.11626168
7.92840080;1.11627801
7.93943940;1.11746438
7.95045670;1.14136742
7.96159190;1.13881777
7.97268060;1.14783980
7.98393860;1.15530706
7.99531710;1.19972156
8.00608530;1.19336105
8.01737470;1.15742309
8.02826480;1.21994953
8.03926200;1.19920898
8.05039410;1.25242470
8.06196410;1.23326839
8.07263310;1.23651407
8.08369000;1.25114937
8.09496760;1.26953604
8.10605060;1.26212685
8.11703720;1.29596709
8.12828300;1.29843188
8.14040450;1.28664591
8.15055850;1.33193098
8.16189480;1.33679473
8.17258600;1.27788744
8.18383040;1.32356528
8.19489040;1.28815489
8.20588170;1.27078306
8.21713210;1.30245172
8.22834880;1.27110354
8.23937870;1.26554875
8.25040870;1.26037144
8.26188600;1.30552050
8.27273110;1.26959415
8.28385990;1.25988192
8.29559250;1.33454068
8.30621350;1.31007884
8.31721050;1.35717577
8.32877460;1.32956503
8.33959390;1.33426488
8.35058780;1.37660465
8.36273060;1.34582962
8.37301960;1.35788797
8.38387170;1.38610605
8.39602600;1.36230495
8.40652680;1.36588409
8.41737000;1.39701026
8.42817710;1.35699851
8.43940830;1.34062155
8.45039190;1.38496680
8.46159560;1.35871118
8.47285180;1.34619805
8.48389810;1.35699704
8.49533640;1.36188031
8.50610520;1.35088003
8.51726890;1.35534895
8.52862270;1.39076657
8.53951020;1.34541089
8.55061970;1.39001305
8.56226760;1.39241562
8.57278160;1.33911912
8.58377030;1.37103584
8.59627160;1.32958892
8.60639630;1.30274842
8.61699260;1.34209356
8.62815880;1.29149454
8.63939250;1.29667088
8.65037610;1.30029167
8.66149800;1.27571762
8.67263560;1.30572414
8.68378030;1.24293470
8.69607170;1.23749405
8.70591940;1.22695074
8.71719010;1.27023454
8.72828910;1.24742617
8.73924160;1.26660337
8.75028560;1.27680316
8.76145220;1.32781645
8.77256580;1.26101584
8.78356980;1.26843239
8.79641600;1.29639099
8.81705680;1.29279023
8.82973920;1.35655280
8.84054530;1.32126561
8.85080590;1.35414604
8.86211490;1.38792862
8.87285100;1.39371961
8.88381400;1.40228964
8.89500350;1.43598126
8.91708480;1.43255871
8.92996570;1.45290339
8.94057130;1.44381240
8.95184420;1.46746873
8.96329340;1.45387830
8.97409130;1.39333162
8.98443350;1.47041635
8.99522340;1.44379256
9.00611210;1.45688960
9.01709160;1.45027719
9.02818160;1.43879694
9.03922110;1.39725423
9.05002620;1.40420335
9.06113830;1.33151200
9.07224370;1.34993497
9.08316620;1.37336426
9.09434040;1.35733780
9.10538900;1.35523621
9.11631730;1.34625051
9.12753110;1.33405978
9.13863600;1.32350432
9.14957810;1.30595012
9.16066150;1.26601383
9.17171460;1.25301843
9.18286820;1.27644297
9.19378830;1.24904132
9.20495710;1.23124621
9.21615040;1.26292373
9.22723050;1.22977968
9.23838080;1.23046559
9.24959980;1.25984285
9.26065500;1.22492881
9.27172340;1.23447988
9.28280510;1.25951988
9.29392160;1.23353636
9.30502960;1.25819718
9.31630750;1.26071075
9.32793920;1.23732686
9.33842450;1.24242056
9.34950890;1.27276375
9.36054260;1.23994419
9.37173870;1.24586968
9.38283810;1.26711688
9.39395960;1.22879534
9.40511760;1.23544480
9.41621040;1.21499408
9.42723760;1.20456094
9.43857350;1.21210248
9.44975920;1.20342125
9.46075620;1.16437639
9.47178400;1.14163604
9.48302480;1.16292314
9.49398680;1.11808583
9.50494850;1.10576482
9.51625110;1.11021296
9.52731550;1.06570915
9.53835550;1.05508721
9.54959100;1.05297152
9.56065780;1.01110942
9.57170820;0.99098562
9.58292040;0.96412703
9.59390330;0.94429073
9.60490500;0.92818878
9.61606370;0.93788716
9.62723450;0.90245740
9.63834710;0.89767410
9.64941730;0.90674905
9.66057030;0.88460019
9.67188090;0.87575952
9.68293050;0.89013906
9.69412940;0.88002428
9.70509590;0.86967475
9.71638930;0.87107068
9.72752650;0.86605738
9.73858080;0.87725629
9.74969190;0.88009231
9.76100100;0.85665579
9.77183450;0.85051757
9.78273700;0.86374443
9.79460920;0.83919888
9.80503910;0.82988521
9.81614440;0.83432345
9.82955450;0.80062412
9.83903760;0.79554802
9.84923480;0.78140989
9.86047450;0.74646223
9.87146640;0.72918384
9.88282390;0.72925264
9.89390960;0.69323754
9.90504580;0.67719277
9.91620350;0.67587437
9.92720090;0.64746395
9.93826310;0.62735934
9.94974940;0.63721005
9.96075110;0.61332650
9.97170620;0.60330402
9.98303580;0.60693823
9.99400840;0.57623373
10.00517820;0.57397098
10.01637840;0.54982413
10.02756240;0.53640525
10.03844440;0.52316187
10.04959760;0.53670947
10.06084420;0.51384551
10.07178990;0.50846455
10.08313220;0.51991544
10.09409380;0.50279310
10.10510220;0.50300819
10.11636070;0.50454698
10.12740210;0.50943644
10.13859820;0.50842382
10.14981690;0.53252699
10.16117160;0.51969471
10.17207100;0.53238743
10.18317640;0.56363773
10.19422280;0.56444139
10.20538480;0.57738142
10.21647670;0.60879499
10.22764820;0.61473322
10.23870000;0.64377492
10.24988670;0.64043992
10.26203720;0.64941250
10.27214370;0.66232833
10.28323660;0.68317050
10.29445960;0.68684596
10.30552950;0.69992589
10.31660940;0.72995001
10.32787190;0.72255899
10.33884600;0.73199377
10.34993500;0.75706582
10.36097720;0.72880933
10.37248480;0.74811726
10.38328990;0.76786306
10.39437840;0.75610357
10.40554340;0.74730659
10.41673170;0.76559210
10.42800240;0.74320603
10.43919640;0.74567254
10.45018520;0.75585602
10.46139320;0.73233670
10.47257070;0.73891822
10.48527440;0.71754976
10.49501430;0.71461766
10.50558200;0.71619394
10.51672960;0.68709272
10.52779170;0.68405297
10.53880150;0.67445947
10.54991360;0.68051591
10.56145470;0.64765361
10.57252380;0.64866966
10.58340590;0.62930157
10.59440030;0.59355555
10.60646690;0.57890459
10.61669170;0.57411950
10.62745070;0.54174126
10.63950050;0.55707167
10.64985820;0.53151384
10.66093960;0.50301071
10.67200490;0.48696187
10.68311310;0.48502939
10.69427160;0.45514860
10.70539290;0.44252606
10.71700300;0.44022923
10.72768450;0.41681681
10.73906100;0.40752721
10.75010560;0.39275211
10.76120510;0.40323766
10.77221060;0.38842310
10.78335460;0.37917807
10.79471380;0.37075468
10.80575080;0.36281517
10.81663680;0.36580760
10.82763310;0.34769290
10.83890870;0.34731265
10.85003870;0.33468165
10.86114010;0.32812796
